           ANÁLISE DE FREQUÊNCIA DE PALAVRAS           
Arquivo analisado: dom-casmurro.txt
Estrutura utilizada: Open Hash
Total de palavras únicas: 9601
Tempo total de execução: 77 ms
Numero de comparações: 237244
Número de colisões: 81110
═══════════════════════════════════════════════════════
Palavra: a, Frequência: 2666
Palavra: que, Frequência: 2663
Palavra: e, Frequência: 2215
Palavra: de, Frequência: 1975
Palavra: o, Frequência: 1865
Palavra: não, Frequência: 1532
Palavra: me, Frequência: 1034
Palavra: se, Frequência: 857
Palavra: um, Frequência: 790
Palavra: é, Frequência: 713
Palavra: os, Frequência: 712
Palavra: do, Frequência: 640
Palavra: da, Frequência: 629
Palavra: mas, Frequência: 609
Palavra: as, Frequência: 592
Palavra: era, Frequência: 554
Palavra: para, Frequência: 543
Palavra: com, Frequência: 537
Palavra: eu, Frequência: 531
Palavra: lhe, Frequência: 474
Palavra: em, Frequência: 463
Palavra: uma, Frequência: 446
Palavra: ao, Frequência: 374
Palavra: como, Frequência: 373
Palavra: no, Frequência: 351
Palavra: capitú, Frequência: 345
Palavra: por, Frequência: 343
Palavra: minha, Frequência: 342
Palavra: mais, Frequência: 340
Palavra: na, Frequência: 331
Palavra: ou, Frequência: 277
Palavra: á, Frequência: 262
Palavra: nem, Frequência: 242
Palavra: elle, Frequência: 239
Palavra: mãe, Frequência: 229
Palavra: foi, Frequência: 224
Palavra: dos, Frequência: 199
Palavra: dias, Frequência: 191
Palavra: quando, Frequência: 190
Palavra: tambem, Frequência: 189
Palavra: the, Frequência: 189
Palavra: tudo, Frequência: 188
Palavra: ella, Frequência: 186
Palavra: disse, Frequência: 182
Palavra: só, Frequência: 173
Palavra: casa, Frequência: 171
Palavra: meu, Frequência: 169
Palavra: ser, Frequência: 168
Palavra: olhos, Frequência: 166
Palavra: já, Frequência: 165
Palavra: mim, Frequência: 162
Palavra: josé, Frequência: 160
Palavra: assim, Frequência: 158
Palavra: depois, Frequência: 152
Palavra: ha, Frequência: 152
Palavra: muito, Frequência: 151
Palavra: vez, Frequência: 148
Palavra: agora, Frequência: 146
Palavra: das, Frequência: 145
Palavra: ainda, Frequência: 140
Palavra: outra, Frequência: 139
Palavra: sem, Frequência: 138
Palavra: você, Frequência: 136
Palavra: nada, Frequência: 134
Palavra: tinha, Frequência: 129
Palavra: nos, Frequência: 124
Palavra: of, Frequência: 122
Palavra: tão, Frequência: 121
Palavra: tempo, Frequência: 121
Palavra: padre, Frequência: 120
Palavra: mesmo, Frequência: 119
Palavra: dia, Frequência: 112
Palavra: escobar, Frequência: 111
Palavra: outro, Frequência: 106
Palavra: eram, Frequência: 105
Palavra: até, Frequência: 102
Palavra: então, Frequência: 101
Palavra: cousa, Frequência: 98
Palavra: dizer, Frequência: 98
Palavra: esta, Frequência: 95
Palavra: ia, Frequência: 94
