           ANÁLISE DE FREQUÊNCIA DE PALAVRAS           
Arquivo analisado: kjv-bible.txt
Estrutura utilizada: AVL Tree
Total de palavras únicas: 12965
Tempo total de execução: 1720 ms
Número de comparações: 11609472
Número de rotações: 9931
═══════════════════════════════════════════════════════
Palavra: the, Frequência: 64016
Palavra: and, Frequência: 51709
Palavra: of, Frequência: 34865
Palavra: to, Frequência: 13630
Palavra: that, Frequência: 12916
Palavra: in, Frequência: 12674
Palavra: he, Frequência: 10431
Palavra: shall, Frequência: 9837
Palavra: unto, Frequência: 9002
Palavra: for, Frequência: 8985
Palavra: i, Frequência: 8853
Palavra: his, Frequência: 8478
Palavra: a, Frequência: 8282
Palavra: lord, Frequência: 7836
Palavra: they, Frequência: 7377
Palavra: be, Frequência: 7012
Palavra: is, Frequência: 6991
Palavra: him, Frequência: 6667
Palavra: not, Frequência: 6597
Palavra: them, Frequência: 6429
Palavra: 1, Frequência: 6200
Palavra: it, Frequência: 6129
Palavra: with, Frequência: 6015
Palavra: all, Frequência: 5621
Palavra: thou, Frequência: 5474
Palavra: 2, Frequência: 5418
Palavra: thy, Frequência: 4603
Palavra: was, Frequência: 4523
Palavra: god, Frequência: 4447
Palavra: which, Frequência: 4414
Palavra: my, Frequência: 4367
Palavra: me, Frequência: 4096
Palavra: said, Frequência: 4002
Palavra: but, Frequência: 3994
Palavra: ye, Frequência: 3985
Palavra: their, Frequência: 3932
Palavra: have, Frequência: 3905
Palavra: will, Frequência: 3837
Palavra: thee, Frequência: 3826
Palavra: from, Frequência: 3646
Palavra: as, Frequência: 3520
Palavra: are, Frequência: 2949
Palavra: when, Frequência: 2847
Palavra: this, Frequência: 2786
Palavra: out, Frequência: 2776
Palavra: were, Frequência: 2773
Palavra: upon, Frequência: 2764
Palavra: by, Frequência: 2625
Palavra: you, Frequência: 2616
Palavra: man, Frequência: 2615
Palavra: 3, Frequência: 2574
Palavra: israel, Frequência: 2565
Palavra: psalm, Frequência: 2549
Palavra: 4, Frequência: 2471
Palavra: up, Frequência: 2380
Palavra: son, Frequência: 2371
Palavra: 7, Frequência: 2348
Palavra: 5, Frequência: 2305
Palavra: there, Frequência: 2299
Palavra: 6, Frequência: 2295
Palavra: hath, Frequência: 2263
Palavra: king, Frequência: 2257
Palavra: 9, Frequência: 2207
Palavra: 8, Frequência: 2189
Palavra: then, Frequência: 2168
Palavra: people, Frequência: 2139
Palavra: 10, Frequência: 2117
Palavra: 11, Frequência: 2101
Palavra: came, Frequência: 2096
Palavra: had, Frequência: 2029
Palavra: house, Frequência: 2026
Palavra: on, Frequência: 2016
Palavra: into, Frequência: 2015
Palavra: her, Frequência: 1994
Palavra: come, Frequência: 1972
Palavra: 12, Frequência: 1968
Palavra: one, Frequência: 1967
Palavra: 13, Frequência: 1905
Palavra: kings, Frequência: 1869
Palavra: 14, Frequência: 1866
Palavra: we, Frequência: 1844
Palavra: children, Frequência: 1803
Palavra: chronicles, Frequência: 1802
Palavra: before, Frequência: 1798
Palavra: 15, Frequência: 1794
Palavra: your, Frequência: 1776
Palavra: also, Frequência: 1769
Palavra: day, Frequência: 1732
Palavra: land, Frequência: 1717
Palavra: an, Frequência: 1699
Palavra: 16, Frequência: 1691
Palavra: so, Frequência: 1689
Palavra: against, Frequência: 1667
Palavra: men, Frequência: 1653
Palavra: samuel, Frequência: 1647
Palavra: shalt, Frequência: 1617
Palavra: 18, Frequência: 1601
Palavra: if, Frequência: 1595
Palavra: at, Frequência: 1571
Palavra: genesis, Frequência: 1533
Palavra: 19, Frequência: 1515
Palavra: let, Frequência: 1511
Palavra: jeremiah, Frequência: 1510
Palavra: 17, Frequência: 1506
Palavra: go, Frequência: 1492
Palavra: hand, Frequência: 1470
Palavra: 20, Frequência: 1465
Palavra: us, Frequência: 1452
Palavra: 21, Frequência: 1446
Palavra: saying, Frequência: 1445
Palavra: 22, Frequência: 1431
Palavra: made, Frequência: 1406
Palavra: went, Frequência: 1400
Palavra: even, Frequência: 1394
Palavra: no, Frequência: 1393
Palavra: do, Frequência: 1368
Palavra: now, Frequência: 1356
Palavra: behold, Frequência: 1326
Palavra: isaiah, Frequência: 1324
Palavra: numbers, Frequência: 1291
Palavra: 23, Frequência: 1279
Palavra: ezekiel, Frequência: 1275
Palavra: saith, Frequência: 1262
Palavra: every, Frequência: 1238
Palavra: therefore, Frequência: 1237
Palavra: these, Frequência: 1225
